Taxa Group,Taxa Subgroup,Taxon Final,Common Name Final,State Status,State List Date,Federal Status,Federal List Date,Notes Draft,Notes Final,Notes Final_1
Reptiles,Boidae,Charina umbratica,Southern rubber boa,ST,19710627,NA,NA,Synonymous with Charina bottae umbratica .,NA,NA
Reptiles,Colubridae,Masticophis lateralis euryxanthus,Alameda whipsnake,ST,19710627,FT,19971205,Synonymous with Coluber lateralis euryxanthus .,NA,NA
Reptiles,Natricidae,Thamnophis gigas,Giant garter snake,ST,19710627,FT,19931119,Listed by State of California as Thamnophis,NA,NA
Reptiles,Natricidae,Thamnophis sirtalis tetrataenia,San Francisco garter snake,SE,19710627,FE,19670311,NA,NA,NA
Birds,Anatidae,Branta hutchinsii leucopareia,Cackling (=Aleutian Canada) goose,NA,NA,FDR,20010320,"Recovered. At time of federal listing, known as",NA,NA
Birds,Diomedeidae,Phoebastria albatrus,Short-tailed albatross,NA,NA,FE,20000830,Synonymous with Diomedea albatrus . Listed as,NA,NA
Birds,Pelecaniidae,"Pelecanus occidentalis
californicus",California brown pelican,SDR,20090603,FDR,20091217,Recovered. Federal nomenclature: Brown,NA,NA
Birds,Cathartidae,Gymnogyps californianus,California condor,SE,19710627,FE,19670311,NA,NA,NA
Birds,Accipitridae,Buteo swainsoni,Swainson’s hawk,ST,19830417,NA,NA,NA,NA,NA
Birds,Accipitridae,Haliaeetus leucocephalus,Bald eagle,SE (rev),19801002,FDR,20070808,The Post-delisting Monitoring Plan will monitor,NA,NA
Birds,Falconidae,Falco peregrinus anatum,American peregrine falcon,SDR,20091104,FDR,19990825,Recovered,NA,NA
Birds,Falconidae,Falco peregrinus tundrius,Arctic peregrine falcon,NA,NA,FDR,19941005,Recovered,NA,NA
Birds,Rallidae,"Laterallus jamaicensis
coturniculus",California black rail,ST,19710627,NA,NA,NA,NA,NA
Birds,Rallidae,Rallus obsoletus levipes,Light-footed Ridgway's rail,SE,19710627,FE,19701013,"Formerly light-footed clapper rail, Rallus",NA,NA
Birds,Rallidae,Rallus obsoletus obsoletus,California Ridgway's rail,SE,19710627,FE,19701013,"Formerly California clapper rail, Rallus",NA,NA
Birds,Rallidae,Rallus obsoletus yumanensis,Yuma Ridgway's rail,ST,19780222,FE,19670311,"Formerly Yuma clapper rail, Rallus longirostris",NA,NA
Birds,Gruidae,Grus canadensis tabida,Greater sandhill crane,ST,19830417,NA,NA,NA,NA,NA
Birds,Charadriidae,Charadrius nivosus nivosus,Western snowy plover,NA,NA,FT,19930405,Federal status applies only to the Pacific coastal,NA,NA
Birds,Laridae,Sternula antillarum browni,California least tern,SE,19710627,FE,19700602,Listed by the State of California and federal,NA,NA
Birds,Alcidae,Brachyramphus marmoratus,Marbled murrelet,SE,19920312,FT,19920928,NA,NA,NA
Birds,Alcidae,Synthliboramphus scrippsi,Scripps’s murrelet (=Xantus’s murrelet),ST,20041222,NA,NA,"At the time of listing, this species was known as",NA,NA
Birds,Alcidae,Synthliboramphus hypoleucus,Guadalupe murrelet (=Xantus’s murrelet),ST,20041222,NA,NA,"At the time of listing, this species was known as",NA,NA
Birds,Cuculidae,"Coccyzus americanus
occidentalis",Western yellow-billed cuckoo,SE,19880326,FT,20141103,Federal listing is for the Western DPS of,NA,NA
Birds,Strigidae,Micrathene whitneyi,Elf owl,SE,19801002,NA,NA,NA,NA,NA
Birds,Strigidae,Strix nebulosa,Great gray owl,SE,19801002,NA,NA,NA,NA,NA
Birds,Strigidae,Strix occidentalis caurina,Northern spotted owl,ST,20190318,FT,19900723,NA,NA,NA
Birds,Picidae,Colaptes chrysoides,Gilded (=Gilded northern) flicker,SE,19880317,NA,NA,Listed by the State of California as Colaptes,NA,NA
Birds,Picidae,Melanerpes uropygialis,Gila woodpecker,SE,19880317,NA,NA,NA,NA,NA
Birds,Tyrannidae,Empidonax traillii,Willow flycatcher,SE,19910102,NA,NA,State listing includes all subspecies.,NA,NA
Birds,Tyrannidae,Empidonax traillii extimus,Southwestern willow flycatcher,(SE),NA,FE,19950329,NA,NA,NA
Birds,Laniidae,Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,NA,NA,FE,19770912,NA,NA,NA
Birds,Vireonidae,Vireo bellii arizonae,Arizona Bell’s vireo,SE,19880317,NA,NA,NA,NA,NA
Birds,Vireonidae,Vireo bellii pusillus,Least Bell’s vireo,SE,19801002,FE,19860602,NA,NA,NA
Birds,Hirundinidae,Riparia riparia,Bank swallow,ST,19890611,NA,NA,NA,NA,NA
Birds,Polioptilidae,Polioptila californica californica,Coastal California gnatcatcher,NA,NA,FT,19930330,NA,NA,NA
Birds,Emberizidae,Artemisiospiza belli clementeae,San Clemente sage sparrow,NA,NA,FT,19770912,Federal nomenclature at time of listing:,NA,NA
Birds,Emberizidae,Melospiza melodia graminea,Santa Barbara song sparrow,NA,NA,FDE,19831012,Extinct. This status refers specifically to the,NA,NA
Birds,Emberizidae,Melozone crissalis eremophilus,Inyo California towhee,SE,19801002,FPD,20131104,Listed by the State of California and federal,NA,NA
Birds,Emberizidae,Passerculus sandwichensis beldingi,Belding’s savannah sparrow,SE,19740110,NA,NA,Listed by the State of California as Passerculus,NA,NA
Birds,Icteridae,Agelaius tricolor,Tricolored blackbird,ST,20190318,NA,NA,NA,NA,NA
Mammals,Soricidae,Sorex ornatus relictus,Buena Vista Lake ornate shrew,NA,NA,FE,20020405,NA,NA,NA
Mammals,Phyllostomidae,Leptonycteris yerbabuenae,Lesser long-nosed bat,NA,NA,FDR,20180518,Recovered.,NA,NA
Mammals,Leporidae,Sylvilagus bachmani riparius,Riparian brush rabbit,SE,19940529,FE,20000324,NA,NA,NA
Mammals,Aplodontidae,Aplodontia rufa nigra,Point Arena mountain beaver,NA,NA,FE,19911212,NA,NA,NA
Mammals,Sciuridae,Ammospermophilus nelsoni,"Nelson’s (=San Joaquin) antelope
squirrel",ST,19801002,NA,NA,NA,NA,NA
Mammals,Sciuridae,Xerospermophilus mohavensis,Mohave ground squirrel,ST,19710627,NA,NA,Listed by the State of California as,NA,NA
Mammals,Heteromyidae,Dipodomys heermanni morroensis,Morro Bay kangaroo rat,SE,19710627,FE,19701013,NA,NA,NA
Mammals,Heteromyidae,Dipodomys ingens,Giant kangaroo rat,SE,19801002,FE,19870105,NA,NA,NA
Mammals,Heteromyidae,Dipodomys merriami parvus,San Bernardino kangaroo rat,SC,20190813,FE,19980924,Federal nomenclature: San Bernardino,NA,NA
Mammals,Heteromyidae,Dipodomys nitratoides exilis,Fresno kangaroo rat,SE,19801002,FE,19850301,NA,NA,NA
Mammals,Heteromyidae,Dipodomys nitratoides nitratoides,Tipton kangaroo rat,SE,19890611,FE,19880808,NA,NA,NA
Mammals,Heteromyidae,Dipodomys stephensi,Stephens’ kangaroo rat,ST,19710627,FE,19881031,"See Federal Register 85(161):50991-51006,",NA,NA
Mammals,Heteromyidae,Perognathus longimembris pacificus,Pacific pocket mouse,NA,NA,FE,19940926,NA,NA,NA
Mammals,Cricetidae,Microtus californicus scirpensis,Amargosa vole,SE,19801002,FE,19841217,NA,NA,NA
