OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations,year,month,day,individualCount,species,verbatimScientificName,collectionCode
57,1313,Dome,2020,44211.08459,125,2014,4,5,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
58,1313,Dome,2020,44211.08459,125,2019,5,26,3,Colaptes chrysoides,Colaptes chrysoides,EBIRD
59,1313,Dome,2020,44211.08459,125,2008,4,5,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
60,1313,Dome,2020,44211.08459,125,2014,3,24,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
61,1313,Dome,2020,44211.08459,125,2017,3,18,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
62,1093,BASALT,2004,410.184,22,2016,1,30,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
63,1313,Dome,2020,44211.08459,125,2017,4,2,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
64,707,Wildhorse,2005,63771.3,31,2013,8,31,1,Empidonax traillii,Empidonax traillii,EBIRD
65,299,PARADISE,2005,3081.726,23,2008,4,12,NA,Buteo swainsoni,Buteo swainsoni,EBIRD
66,1316,Del Puerto,2020,390647.2556,15,2014,4,24,2,Buteo swainsoni,Buteo swainsoni,EBIRD
67,1093,BASALT,2004,410.184,22,2009,6,23,1,Buteo swainsoni,Buteo swainsoni,EBIRD
68,707,Wildhorse,2005,63771.3,31,1976,9,1,1,Empidonax traillii,Empidonax traillii,EBIRD
69,1313,Dome,2020,44211.08459,125,2017,4,15,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
70,299,PARADISE,2005,3081.726,23,2013,4,10,1,Riparia riparia,Riparia riparia,EBIRD
71,1313,Dome,2020,44211.08459,125,2019,5,12,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
72,1313,Dome,2020,44211.08459,125,2013,4,7,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
73,1313,Dome,2020,44211.08459,125,2012,9,14,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
74,299,PARADISE,2005,3081.726,23,1996,4,20,1,Buteo swainsoni,Buteo swainsoni,EBIRD
75,1093,BASALT,2004,410.184,22,2019,3,24,1,Buteo swainsoni,Buteo swainsoni,EBIRD
76,707,Wildhorse,2005,63771.3,31,2018,5,19,1,Empidonax traillii,Empidonax traillii,EBIRD
77,1313,Dome,2020,44211.08459,125,2005,4,17,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
78,1313,Dome,2020,44211.08459,125,2018,2,9,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
79,1313,Dome,2020,44211.08459,125,2020,10,17,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
80,707,Wildhorse,2005,63771.3,31,2020,6,13,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
81,1093,BASALT,2004,410.184,22,2016,1,30,1,Buteo swainsoni,Buteo swainsoni,EBIRD
82,319,TECOPA,2010,105.7345,17,2008,6,5,2,Empidonax traillii,Empidonax traillii,EBIRD
83,427,Tecopa,2010,105.7341,17,2008,6,5,2,Empidonax traillii,Empidonax traillii,EBIRD
84,1093,BASALT,2004,410.184,22,2016,1,30,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
85,1093,BASALT,2004,410.184,22,2020,12,1,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
86,1313,Dome,2020,44211.08459,125,1998,6,7,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
87,1313,Dome,2020,44211.08459,125,2017,4,1,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
88,1105,AVENAL,2008,945.3325,11,1999,3,27,1,Agelaius tricolor,Agelaius tricolor,EBIRD
89,1313,Dome,2020,44211.08459,125,2019,5,19,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
90,1313,Dome,2020,44211.08459,125,2019,5,11,1,Empidonax traillii,Empidonax traillii,EBIRD
91,456,Stewart,2012,10630.18,18,2016,4,10,1,Buteo swainsoni,Buteo swainsoni,EBIRD
92,1313,Dome,2020,44211.08459,125,1972,7,5,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
93,1313,Dome,2020,44211.08459,125,2010,5,22,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
94,324,NARROWS,2010,49.86191,3,2018,6,1,1,Empidonax traillii,Empidonax traillii,EBIRD
95,299,PARADISE,2005,3081.726,23,2016,3,23,1,Buteo swainsoni,Buteo swainsoni,EBIRD
96,1167,MCCABE,2015,1728.974,3,2019,6,19,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD_MA
97,1316,Del Puerto,2020,390647.2556,15,2019,6,19,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD_MA
98,1105,AVENAL,2008,945.3325,11,2015,4,18,1,Buteo swainsoni,Buteo swainsoni,EBIRD
99,1020,HWY166,2004,65.16033,2,2009,5,3,1,Buteo swainsoni,Buteo swainsoni,EBIRD
100,1102,ROMERO,2008,766.0438,5,2019,9,7,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
101,1313,Dome,2020,44211.08459,125,2013,12,28,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
102,1263,Soda,2016,2000.281,4,2017,5,2,8,Agelaius tricolor,Agelaius tricolor,EBIRD
103,1105,AVENAL,2008,945.3325,11,2012,4,2,1,Buteo swainsoni,Buteo swainsoni,EBIRD
104,291,PINES,2002,61691.24,14,2004,6,5,1,Empidonax traillii,Empidonax traillii,EBIRD
105,1313,Dome,2020,44211.08459,125,2019,5,11,1,Empidonax traillii,Empidonax traillii,EBIRD
106,451,Blue Cut,2016,36266.55,4,2011,5,16,3,Empidonax traillii,Empidonax traillii,EBIRD
107,639,Blue Cut,2002,6821.039,2,2011,5,16,3,Empidonax traillii,Empidonax traillii,EBIRD
108,669,Blue Cut,2016,36266.7,4,2011,5,16,3,Empidonax traillii,Empidonax traillii,EBIRD
109,319,TECOPA,2010,105.7345,17,2009,4,26,1,Riparia riparia,Riparia riparia,EBIRD
110,427,Tecopa,2010,105.7341,17,2009,4,26,1,Riparia riparia,Riparia riparia,EBIRD
111,1093,BASALT,2004,410.184,22,2012,1,17,1,Agelaius tricolor,Agelaius tricolor,EBIRD
112,707,Wildhorse,2005,63771.3,31,2015,6,7,2,Empidonax traillii,Empidonax traillii,EBIRD
113,1313,Dome,2020,44211.08459,125,2015,5,25,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
114,1314,Bobcat,2020,115997.5701,9,1989,4,23,1,Agelaius tricolor,Agelaius tricolor,EBIRD
115,299,PARADISE,2005,3081.726,23,1999,5,7,1,Empidonax traillii,Empidonax traillii,EBIRD
116,842,SODA,2005,449.4977,1,2005,7,30,1,Gymnogyps californianus,Gymnogyps californianus,EBIRD
117,1193,HUDSON,2017,1182.301,1,2005,7,30,1,Gymnogyps californianus,Gymnogyps californianus,EBIRD
118,1278,Hudson,2017,1182.297,1,2005,7,30,1,Gymnogyps californianus,Gymnogyps californianus,EBIRD
119,1309,Sandy,2016,0,1,2003,3,8,NA,Agelaius tricolor,Agelaius tricolor,EBIRD
120,291,PINES,2002,61691.24,14,2003,5,31,1,Empidonax traillii,Empidonax traillii,EBIRD
121,643,Old,2003,91428,6,2010,4,21,8,Agelaius tricolor,Agelaius tricolor,EBIRD
122,299,PARADISE,2005,3081.726,23,1974,9,19,1,Empidonax traillii,Empidonax traillii,EBIRD
123,1313,Dome,2020,44211.08459,125,2010,4,11,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
124,1313,Dome,2020,44211.08459,125,2019,6,7,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
125,1313,Dome,2020,44211.08459,125,2013,8,31,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
126,885,DOS AMIGOS,2005,746.0347,1,2017,5,28,2,Buteo swainsoni,Buteo swainsoni,EBIRD
127,1313,Dome,2020,44211.08459,125,2014,6,21,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
128,1313,Dome,2020,44211.08459,125,2013,8,8,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
129,1313,Dome,2020,44211.08459,125,2016,4,29,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
130,319,TECOPA,2010,105.7345,17,2019,5,27,10,Riparia riparia,Riparia riparia,EBIRD
131,427,Tecopa,2010,105.7341,17,2019,5,27,10,Riparia riparia,Riparia riparia,EBIRD
132,397,Draper,2017,754.3,3,2011,6,15,1,Empidonax traillii,Empidonax traillii,EBIRD
133,1105,AVENAL,2008,945.3325,11,2009,5,23,1,Empidonax traillii,Empidonax traillii,EBIRD
134,324,NARROWS,2010,49.86191,3,2017,5,27,4,Empidonax traillii,Empidonax traillii,EBIRD
135,1313,Dome,2020,44211.08459,125,2009,6,28,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
136,380,MOFFAT,2018,1253.925,3,2002,6,11,NA,Empidonax traillii,Empidonax traillii,EBIRD
137,423,Tecopa,2017,26.99327,1,2014,5,23,4,Riparia riparia,Riparia riparia,EBIRD
