OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalBird,year,month,day,individualCount,genus,specificEpithet,species,vernacularName,collectionCode
5231,356,R O M E R O,2008,766.0438,185,2014,12,21,NA,Haemorhous,purpureus,Haemorhous purpureus,Purple Finch,EBIRD
5232,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,5,10,3,Stelgidopteryx,serripennis,Stelgidopteryx serripennis,Northern Rough-winged Swallow,EBIRD
5233,359,A V E N A L,2008,945.3325,1605,2011,5,19,1,Contopus,cooperi,Contopus cooperi,Olive-sided Flycatcher,EBIRD
5234,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,11,4,Psaltriparus,minimus,Psaltriparus minimus,Bushtit,EBIRD
5235,347,B A S A L T,2004,410.184,3106,2018,12,23,1,Aythya,marila,Aythya marila,Greater Scaup,EBIRD
5236,347,B A S A L T,2004,410.184,3106,2005,11,18,2,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
5237,347,B A S A L T,2004,410.184,3106,2006,1,4,NA,Aythya,marila,Aythya marila,Greater Scaup,EBIRD
5238,472,G A R Z A,2017,48886.66,1022,2012,4,29,2,Empidonax,difficilis,Empidonax difficilis,Pacific-slope Flycatcher,EBIRD
5239,546,G a r z a,2017,48886.47,1022,2012,4,29,2,Empidonax,difficilis,Empidonax difficilis,Pacific-slope Flycatcher,EBIRD
5240,357,C O T T O N W O O D,2008,796.5697,39,2016,1,30,1,Tachycineta,bicolor,Tachycineta bicolor,Tree Swallow,EBIRD
5241,347,B A S A L T,2004,410.184,3106,2019,12,30,1,Branta,hutchinsii,Branta hutchinsii,Cackling Goose,EBIRD
5242,359,A V E N A L,2008,945.3325,1605,2011,5,19,NA,Corvus,corax,Corvus corax,Common Raven,EBIRD
5243,560,Del Puerto Del Puerto,2020,390647.2556,2048,2015,11,7,1,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5244,517,S o d a,2016,2000.281,364,2014,5,4,1,Sayornis,saya,Sayornis saya,Say's Phoebe,EBIRD
5245,347,B A S A L T,2004,410.184,3106,2018,11,24,6,Mergus,serrator,Mergus serrator,Red-breasted Merganser,EBIRD
5246,359,A V E N A L,2008,945.3325,1605,2003,10,17,NA,Psaltriparus,minimus,Psaltriparus minimus,Bushtit,EBIRD
5247,347,B A S A L T,2004,410.184,3106,2018,11,24,2,Egretta,thula,Egretta thula,Snowy Egret,EBIRD
5248,347,B A S A L T,2004,410.184,3106,2012,10,28,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
5249,472,G A R Z A,2017,48886.66,1022,2017,5,19,7,Pipilo,maculatus,Pipilo maculatus,Spotted Towhee,EBIRD
5250,546,G a r z a,2017,48886.47,1022,2017,5,19,7,Pipilo,maculatus,Pipilo maculatus,Spotted Towhee,EBIRD
5251,517,S o d a,2016,2000.281,364,2015,6,5,2,Bubo,virginianus,Bubo virginianus,Great Horned Owl,EBIRD
5252,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,3,28,20,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5253,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,4,20,1,Aimophila,ruficeps,Aimophila ruficeps,Rufous-crowned Sparrow,EBIRD
5254,472,G A R Z A,2017,48886.66,1022,2012,3,6,1,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5255,546,G a r z a,2017,48886.47,1022,2012,3,6,1,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5256,347,B A S A L T,2004,410.184,3106,2016,1,24,400,Aythya,affinis,Aythya affinis,Lesser Scaup,EBIRD
5257,560,Del Puerto Del Puerto,2020,390647.2556,2048,2011,5,29,NA,Phainopepla,nitens,Phainopepla nitens,Phainopepla,EBIRD
5258,560,Del Puerto Del Puerto,2020,390647.2556,2048,2017,3,20,4,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
5259,347,B A S A L T,2004,410.184,3106,2012,10,28,NA,Oxyura,jamaicensis,Oxyura jamaicensis,Ruddy Duck,EBIRD
5260,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,29,1,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
5261,347,B A S A L T,2004,410.184,3106,2018,8,30,4,Sturnella,neglecta,Sturnella neglecta,Western Meadowlark,EBIRD
5262,347,B A S A L T,2004,410.184,3106,2019,11,29,2698,Fulica,americana,Fulica americana,American Coot,EBIRD
5263,472,G A R Z A,2017,48886.66,1022,2015,10,31,5,Bombycilla,cedrorum,Bombycilla cedrorum,Cedar Waxwing,EBIRD
5264,546,G a r z a,2017,48886.47,1022,2015,10,31,5,Bombycilla,cedrorum,Bombycilla cedrorum,Cedar Waxwing,EBIRD
5265,359,A V E N A L,2008,945.3325,1605,2012,4,2,4,Melozone,crissalis,Melozone crissalis,California Towhee,EBIRD
5266,347,B A S A L T,2004,410.184,3106,2016,9,14,1,Actitis,macularius,Actitis macularius,Spotted Sandpiper,EBIRD
5267,560,Del Puerto Del Puerto,2020,390647.2556,2048,2016,5,15,4,Spinus,psaltria,Spinus psaltria,Lesser Goldfinch,EBIRD
5268,347,B A S A L T,2004,410.184,3106,2016,1,29,80,Aythya,valisineria,Aythya valisineria,Canvasback,EBIRD
5269,347,B A S A L T,2004,410.184,3106,2014,2,13,3,Streptopelia,decaocto,Streptopelia decaocto,Eurasian Collared-Dove,EBIRD
5270,347,B A S A L T,2004,410.184,3106,2019,9,3,14,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
5271,347,B A S A L T,2004,410.184,3106,2013,2,14,2,Ardea,alba,Ardea alba,Great Egret,EBIRD
5272,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,4,8,1,Haemorhous,mexicanus,Haemorhous mexicanus,House Finch,EBIRD
5273,431,P A N O C H O,2016,53.19081,22,2012,3,24,3,Lanius,ludovicianus,Lanius ludovicianus,Loggerhead Shrike,EBIRD
5274,515,P a n o c h o,2016,53.1906,22,2012,3,24,3,Lanius,ludovicianus,Lanius ludovicianus,Loggerhead Shrike,EBIRD
5275,517,S o d a,2016,2000.281,364,2015,6,5,4,Tyrannus,verticalis,Tyrannus verticalis,Western Kingbird,EBIRD
5276,359,A V E N A L,2008,945.3325,1605,2019,1,13,5,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5277,347,B A S A L T,2004,410.184,3106,2018,11,24,300,Oxyura,jamaicensis,Oxyura jamaicensis,Ruddy Duck,EBIRD
5278,347,B A S A L T,2004,410.184,3106,2018,4,15,2,Tyrannus,verticalis,Tyrannus verticalis,Western Kingbird,EBIRD
5279,560,Del Puerto Del Puerto,2020,390647.2556,2048,2012,7,21,3,Aphelocoma,californica,Aphelocoma californica,California Scrub-Jay,EBIRD
5280,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,6,9,3,Melozone,crissalis,Melozone crissalis,California Towhee,EBIRD
5281,347,B A S A L T,2004,410.184,3106,2006,1,4,NA,Colaptes,auratus,Colaptes auratus,Northern Flicker,EBIRD
5282,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,5,10,1,Calypte,costae,Calypte costae,Costa's Hummingbird,EBIRD
5283,359,A V E N A L,2008,945.3325,1605,2011,9,17,3,Calypte,anna,Calypte anna,Anna's Hummingbird,EBIRD
5284,560,Del Puerto Del Puerto,2020,390647.2556,2048,2001,1,27,NA,Turdus,migratorius,Turdus migratorius,American Robin,EBIRD
5285,347,B A S A L T,2004,410.184,3106,2013,11,30,3,Pelecanus,erythrorhynchos,Pelecanus erythrorhynchos,American White Pelican,EBIRD
5286,472,G A R Z A,2017,48886.66,1022,2015,10,31,4,Falco,sparverius,Falco sparverius,American Kestrel,EBIRD
5287,546,G a r z a,2017,48886.47,1022,2015,10,31,4,Falco,sparverius,Falco sparverius,American Kestrel,EBIRD
5288,359,A V E N A L,2008,945.3325,1605,2011,2,5,30,Anthus,rubescens,Anthus rubescens,American Pipit,EBIRD
5289,347,B A S A L T,2004,410.184,3106,2014,2,13,NA,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5290,347,B A S A L T,2004,410.184,3106,2014,2,13,NA,Anas,clypeata,Anas clypeata,Northern Shoveler,EBIRD
5291,319,A L M A Z O N,2006,1926.058,8,1985,9,21,NA,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
5292,347,B A S A L T,2004,410.184,3106,2018,11,24,6,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5293,472,G A R Z A,2017,48886.66,1022,2015,5,3,NA,Chondestes,grammacus,Chondestes grammacus,Lark Sparrow,EBIRD
5294,546,G a r z a,2017,48886.47,1022,2015,5,3,NA,Chondestes,grammacus,Chondestes grammacus,Lark Sparrow,EBIRD
5295,560,Del Puerto Del Puerto,2020,390647.2556,2048,1999,4,18,NA,Salpinctes,obsoletus,Salpinctes obsoletus,Rock Wren,EBIRD
5296,347,B A S A L T,2004,410.184,3106,2013,11,2,NA,Fulica,americana,Fulica americana,American Coot,EBIRD
5297,359,A V E N A L,2008,945.3325,1605,2014,5,17,1,Dryobates,villosus,Dryobates villosus,Hairy Woodpecker,EBIRD
5298,347,B A S A L T,2004,410.184,3106,2017,10,25,16,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
5299,347,B A S A L T,2004,410.184,3106,2012,3,18,1,Circus,hudsonius,Circus cyaneus,Northern Harrier,EBIRD
5300,517,S o d a,2016,2000.281,364,2017,4,3,3,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
5301,359,A V E N A L,2008,945.3325,1605,2014,5,17,8,Corvus,brachyrhynchos,Corvus brachyrhynchos,American Crow,EBIRD
5302,560,Del Puerto Del Puerto,2020,390647.2556,2048,2015,6,5,1,Callipepla,californica,Callipepla californica,California Quail,EBIRD
5303,347,B A S A L T,2004,410.184,3106,2009,11,15,25,Larus,californicus,Larus californicus,California Gull,EBIRD
5304,347,B A S A L T,2004,410.184,3106,2014,11,29,NA,Plegadis,chihi,Plegadis chihi,White-faced Ibis,EBIRD
5305,356,R O M E R O,2008,766.0438,185,2019,5,16,1,Agelaius,phoeniceus,Agelaius phoeniceus,Red-winged Blackbird,EBIRD
5306,347,B A S A L T,2004,410.184,3106,2019,1,3,1,Haliaeetus,leucocephalus,Haliaeetus leucocephalus,Bald Eagle,EBIRD
5307,472,G A R Z A,2017,48886.66,1022,2012,4,2,3,Zonotrichia,atricapilla,Zonotrichia atricapilla,Golden-crowned Sparrow,EBIRD
5308,546,G a r z a,2017,48886.47,1022,2012,4,2,3,Zonotrichia,atricapilla,Zonotrichia atricapilla,Golden-crowned Sparrow,EBIRD
5309,347,B A S A L T,2004,410.184,3106,2012,11,24,NA,Bucephala,albeola,Bucephala albeola,Bufflehead,EBIRD
5310,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,29,1,Butorides,virescens,Butorides virescens,Green Heron,EBIRD
5311,472,G A R Z A,2017,48886.66,1022,2015,10,31,4,Pica,nuttalli,Pica nuttalli,Yellow-billed Magpie,EBIRD
5312,546,G a r z a,2017,48886.47,1022,2015,10,31,4,Pica,nuttalli,Pica nuttalli,Yellow-billed Magpie,EBIRD
5313,347,B A S A L T,2004,410.184,3106,2013,11,30,100,Bucephala,albeola,Bucephala albeola,Bufflehead,EBIRD
5314,347,B A S A L T,2004,410.184,3106,2016,10,1,3,Charadrius,vociferus,Charadrius vociferus,Killdeer,EBIRD
5315,472,G A R Z A,2017,48886.66,1022,2010,4,22,1,Aquila,chrysaetos,Aquila chrysaetos,Golden Eagle,EBIRD
5316,546,G a r z a,2017,48886.47,1022,2010,4,22,1,Aquila,chrysaetos,Aquila chrysaetos,Golden Eagle,EBIRD
5317,356,R O M E R O,2008,766.0438,185,2019,9,7,1,Aechmophorus,occidentalis,Aechmophorus occidentalis,Western Grebe,EBIRD
5318,359,A V E N A L,2008,945.3325,1605,1993,10,16,50,Callipepla,californica,Callipepla californica,California Quail,EBIRD
5319,356,R O M E R O,2008,766.0438,185,2019,9,7,2,Phalacrocorax,auritus,Phalacrocorax auritus,Double-crested Cormorant,EBIRD
5320,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,5,10,2,Tachycineta,thalassina,Tachycineta thalassina,Violet-green Swallow,EBIRD
5321,347,B A S A L T,2004,410.184,3106,2013,1,26,2,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5322,359,A V E N A L,2008,945.3325,1605,2013,4,6,10,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5323,347,B A S A L T,2004,410.184,3106,2015,2,16,1,Sayornis,nigricans,Sayornis nigricans,Black Phoebe,EBIRD
5324,472,G A R Z A,2017,48886.66,1022,2013,2,16,2,Corvus,corax,Corvus corax,Common Raven,EBIRD
5325,546,G a r z a,2017,48886.47,1022,2013,2,16,2,Corvus,corax,Corvus corax,Common Raven,EBIRD
5326,472,G A R Z A,2017,48886.66,1022,2012,4,29,1,Phainopepla,nitens,Phainopepla nitens,Phainopepla,EBIRD
5327,546,G a r z a,2017,48886.47,1022,2012,4,29,1,Phainopepla,nitens,Phainopepla nitens,Phainopepla,EBIRD
5328,347,B A S A L T,2004,410.184,3106,2015,2,12,NA,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
5329,359,A V E N A L,2008,945.3325,1605,1999,5,3,NA,Spinus,lawrencei,Spinus lawrencei,Lawrence's Goldfinch,EBIRD
5330,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,5,10,2,Melozone,crissalis,Melozone crissalis,California Towhee,EBIRD
5331,347,B A S A L T,2004,410.184,3106,2009,11,20,NA,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
5332,359,A V E N A L,2008,945.3325,1605,2004,10,6,NA,Agelaius,phoeniceus,Agelaius phoeniceus,Red-winged Blackbird,EBIRD
5333,359,A V E N A L,2008,945.3325,1605,1999,4,20,1,Catherpes,mexicanus,Catherpes mexicanus,Canyon Wren,EBIRD
5334,347,B A S A L T,2004,410.184,3106,2013,5,5,1,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5335,351,C A N Y O N,2006,34217.52,37,2010,4,1,2,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
5336,560,Del Puerto Del Puerto,2020,390647.2556,2048,2010,4,1,2,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
5337,314,S A N   L U I S,2005,332.2597,36,2015,6,11,2,Icterus,bullockii,Icterus bullockii,Bullock's Oriole,EBIRD
5338,356,R O M E R O,2008,766.0438,185,2015,6,11,2,Icterus,bullockii,Icterus bullockii,Bullock's Oriole,EBIRD
5339,359,A V E N A L,2008,945.3325,1605,2013,4,6,1,Haemorhous,purpureus,Haemorhous purpureus,Purple Finch,EBIRD
5340,347,B A S A L T,2004,410.184,3106,2016,1,24,2,Aquila,chrysaetos,Aquila chrysaetos,Golden Eagle,EBIRD
5341,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,7,23,40,Callipepla,californica,Callipepla californica,California Quail,EBIRD
5342,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,5,10,2,Aeronautes,saxatalis,Aeronautes saxatalis,White-throated Swift,EBIRD
5343,472,G A R Z A,2017,48886.66,1022,2017,10,22,4,Aimophila,ruficeps,Aimophila ruficeps,Rufous-crowned Sparrow,EBIRD
5344,546,G a r z a,2017,48886.47,1022,2017,10,22,4,Aimophila,ruficeps,Aimophila ruficeps,Rufous-crowned Sparrow,EBIRD
5345,347,B A S A L T,2004,410.184,3106,2015,2,12,NA,Fulica,americana,Fulica americana,American Coot,EBIRD
5346,347,B A S A L T,2004,410.184,3106,2013,11,25,NA,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5347,560,Del Puerto Del Puerto,2020,390647.2556,2048,2016,5,15,1,Lanius,ludovicianus,Lanius ludovicianus,Loggerhead Shrike,EBIRD
5348,347,B A S A L T,2004,410.184,3106,2017,2,12,1,Larus,argentatus,Larus argentatus,Herring Gull,EBIRD
5349,560,Del Puerto Del Puerto,2020,390647.2556,2048,2017,4,25,3,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
5350,517,S o d a,2016,2000.281,364,2017,4,3,1,Lanius,ludovicianus,Lanius ludovicianus,Loggerhead Shrike,EBIRD
5351,347,B A S A L T,2004,410.184,3106,2018,1,30,1,Ardea,alba,Ardea alba,Great Egret,EBIRD
5352,347,B A S A L T,2004,410.184,3106,2018,11,21,1,Circus,hudsonius,Circus cyaneus,Northern Harrier,EBIRD
5353,432,C U R R Y,2016,2820.48,56,2019,6,2,6,Pica,nuttalli,Pica nuttalli,Yellow-billed Magpie,EBIRD
5354,521,C u r r y,2016,2820.469,56,2019,6,2,6,Pica,nuttalli,Pica nuttalli,Yellow-billed Magpie,EBIRD
5355,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,11,10,Agelaius,phoeniceus,Agelaius phoeniceus,Red-winged Blackbird,EBIRD
5356,347,B A S A L T,2004,410.184,3106,2016,9,14,1,Sterna,hirundo,Sterna hirundo,Common Tern,EBIRD
5357,560,Del Puerto Del Puerto,2020,390647.2556,2048,2017,5,13,1,Melozone,crissalis,Melozone crissalis,California Towhee,EBIRD
5358,347,B A S A L T,2004,410.184,3106,2019,3,24,20,Petrochelidon,pyrrhonota,Petrochelidon pyrrhonota,Cliff Swallow,EBIRD
5359,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,10,13,15,Aphelocoma,californica,Aphelocoma californica,California Scrub-Jay,EBIRD
5360,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,3,11,4,Salpinctes,obsoletus,Salpinctes obsoletus,Rock Wren,EBIRD
5361,347,B A S A L T,2004,410.184,3106,2013,11,30,20,Bucephala,clangula,Bucephala clangula,Common Goldeneye,EBIRD
5362,472,G A R Z A,2017,48886.66,1022,2016,10,15,20,Callipepla,californica,Callipepla californica,California Quail,EBIRD
5363,546,G a r z a,2017,48886.47,1022,2016,10,15,20,Callipepla,californica,Callipepla californica,California Quail,EBIRD
5364,314,S A N   L U I S,2005,332.2597,36,2015,4,9,500,Fulica,americana,Fulica americana,American Coot,EBIRD
5365,356,R O M E R O,2008,766.0438,185,2015,4,9,500,Fulica,americana,Fulica americana,American Coot,EBIRD
5366,347,B A S A L T,2004,410.184,3106,2019,11,10,1,Buteo,jamaicensis,Buteo jamaicensis,Red-tailed Hawk,EBIRD
5367,359,A V E N A L,2008,945.3325,1605,2014,4,26,2,Pheucticus,melanocephalus,Pheucticus melanocephalus,Black-headed Grosbeak,EBIRD
5368,359,A V E N A L,2008,945.3325,1605,2012,4,2,2,Colaptes,auratus,Colaptes auratus,Northern Flicker,EBIRD
5369,359,A V E N A L,2008,945.3325,1605,1990,5,19,NA,Haemorhous,mexicanus,Haemorhous mexicanus,House Finch,EBIRD
5370,560,Del Puerto Del Puerto,2020,390647.2556,2048,2017,4,25,1,Megaceryle,alcyon,Megaceryle alcyon,Belted Kingfisher,EBIRD
5371,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,4,27,1,Salpinctes,obsoletus,Salpinctes obsoletus,Rock Wren,EBIRD
5372,359,A V E N A L,2008,945.3325,1605,2012,10,20,5,Melanerpes,formicivorus,Melanerpes formicivorus,Acorn Woodpecker,EBIRD
5373,347,B A S A L T,2004,410.184,3106,2012,10,28,NA,Podilymbus,podiceps,Podilymbus podiceps,Pied-billed Grebe,EBIRD
5374,347,B A S A L T,2004,410.184,3106,2005,11,18,1,Aechmophorus,occidentalis,Aechmophorus occidentalis,Western Grebe,EBIRD
5375,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,5,12,3,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5376,347,B A S A L T,2004,410.184,3106,2016,1,24,1,Colaptes,auratus,Colaptes auratus,Northern Flicker,EBIRD
5377,347,B A S A L T,2004,410.184,3106,2018,11,24,17,Larus,delawarensis,Larus delawarensis,Ring-billed Gull,EBIRD
5378,472,G A R Z A,2017,48886.66,1022,2013,2,16,4,Spinus,lawrencei,Spinus lawrencei,Lawrence's Goldfinch,EBIRD
5379,546,G a r z a,2017,48886.47,1022,2013,2,16,4,Spinus,lawrencei,Spinus lawrencei,Lawrence's Goldfinch,EBIRD
5380,359,A V E N A L,2008,945.3325,1605,2014,5,17,2,Falco,sparverius,Falco sparverius,American Kestrel,EBIRD
5381,347,B A S A L T,2004,410.184,3106,2019,2,21,2,Tringa,melanoleuca,Tringa melanoleuca,Greater Yellowlegs,EBIRD
5382,347,B A S A L T,2004,410.184,3106,2016,1,24,4,Setophaga,coronata,Setophaga coronata,Yellow-rumped Warbler,EBIRD
5383,347,B A S A L T,2004,410.184,3106,2017,2,18,5,Tachycineta,bicolor,Tachycineta bicolor,Tree Swallow,EBIRD
5384,347,B A S A L T,2004,410.184,3106,2016,1,30,10,Passer,domesticus,Passer domesticus,House Sparrow,EBIRD
5385,560,Del Puerto Del Puerto,2020,390647.2556,2048,2016,4,21,2,Sayornis,nigricans,Sayornis nigricans,Black Phoebe,EBIRD
5386,347,B A S A L T,2004,410.184,3106,2016,1,24,2,Mergus,merganser,Mergus merganser,Common Merganser,EBIRD
5387,347,B A S A L T,2004,410.184,3106,2013,2,14,NA,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
5388,347,B A S A L T,2004,410.184,3106,2019,11,2,36,Egretta,thula,Egretta thula,Snowy Egret,EBIRD
5389,347,B A S A L T,2004,410.184,3106,2014,9,8,200,Anas,clypeata,Anas clypeata,Northern Shoveler,EBIRD
5390,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,4,23,2,Salpinctes,obsoletus,Salpinctes obsoletus,Rock Wren,EBIRD
5391,560,Del Puerto Del Puerto,2020,390647.2556,2048,1982,5,7,1,Geococcyx,californianus,Geococcyx californianus,Greater Roadrunner,EBIRD
5392,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,5,12,1,Sayornis,nigricans,Sayornis nigricans,Black Phoebe,EBIRD
5393,347,B A S A L T,2004,410.184,3106,2019,1,22,2,Setophaga,coronata,Setophaga coronata,Yellow-rumped Warbler,EBIRD
5394,560,Del Puerto Del Puerto,2020,390647.2556,2048,2017,3,20,2,Colaptes,auratus,Colaptes auratus,Northern Flicker,EBIRD
5395,359,A V E N A L,2008,945.3325,1605,2011,10,15,2,Accipiter,cooperii,Accipiter cooperii,Cooper's Hawk,EBIRD
5396,359,A V E N A L,2008,945.3325,1605,2014,5,17,1,Toxostoma,redivivum,Toxostoma redivivum,California Thrasher,EBIRD
5397,359,A V E N A L,2008,945.3325,1605,2004,10,6,NA,Calypte,anna,Calypte anna,Anna's Hummingbird,EBIRD
5398,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,11,6,Tyrannus,verticalis,Tyrannus verticalis,Western Kingbird,EBIRD
5399,359,A V E N A L,2008,945.3325,1605,2014,5,17,2,Picoides,nuttallii,Picoides nuttallii,Nuttall's Woodpecker,EBIRD
5400,347,B A S A L T,2004,410.184,3106,2019,11,29,10,Podiceps,nigricollis,Podiceps nigricollis,Eared Grebe,EBIRD
5401,560,Del Puerto Del Puerto,2020,390647.2556,2048,2013,5,11,1,Butorides,virescens,Butorides virescens,Green Heron,EBIRD
5402,359,A V E N A L,2008,945.3325,1605,1993,10,16,200,Eremophila,alpestris,Eremophila alpestris,Horned Lark,EBIRD
5403,347,B A S A L T,2004,410.184,3106,2018,12,23,1,Bucephala,clangula,Bucephala clangula,Common Goldeneye,EBIRD
5404,347,B A S A L T,2004,410.184,3106,2018,11,24,3,Ardea,alba,Ardea alba,Great Egret,EBIRD
5405,517,S o d a,2016,2000.281,364,2015,4,16,2,Sayornis,saya,Sayornis saya,Say's Phoebe,EBIRD
5406,472,G A R Z A,2017,48886.66,1022,2010,3,13,15,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
5407,546,G a r z a,2017,48886.47,1022,2010,3,13,15,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
5408,560,Del Puerto Del Puerto,2020,390647.2556,2048,2014,3,28,1,Salpinctes,obsoletus,Salpinctes obsoletus,Rock Wren,EBIRD
5409,347,B A S A L T,2004,410.184,3106,2019,11,2,1,Ardea,herodias,Ardea herodias,Great Blue Heron,EBIRD
5410,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,5,14,1,Baeolophus,inornatus,Baeolophus inornatus,Oak Titmouse,EBIRD
5411,347,B A S A L T,2004,410.184,3106,2009,11,15,75,Aythya,valisineria,Aythya valisineria,Canvasback,EBIRD
5412,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,5,14,1,Picoides,nuttallii,Picoides nuttallii,Nuttall's Woodpecker,EBIRD
5413,489,I D R I A,2018,110.1655,12,2011,2,20,30,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
5414,536,I d r i a,2018,110.1651,13,2011,2,20,30,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
5415,472,G A R Z A,2017,48886.66,1022,2012,4,2,13,Sturnella,neglecta,Sturnella neglecta,Western Meadowlark,EBIRD
5416,546,G a r z a,2017,48886.47,1022,2012,4,2,13,Sturnella,neglecta,Sturnella neglecta,Western Meadowlark,EBIRD
5417,347,B A S A L T,2004,410.184,3106,2009,11,24,NA,Podiceps,auritus,Podiceps auritus,Horned Grebe,EBIRD
5418,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,11,2,Butorides,virescens,Butorides virescens,Green Heron,EBIRD
5419,560,Del Puerto Del Puerto,2020,390647.2556,2048,2019,5,11,4,Sialia,mexicana,Sialia mexicana,Western Bluebird,EBIRD
5420,347,B A S A L T,2004,410.184,3106,2011,3,10,1,Lanius,ludovicianus,Lanius ludovicianus,Loggerhead Shrike,EBIRD
5421,347,B A S A L T,2004,410.184,3106,2011,3,10,NA,Fulica,americana,Fulica americana,American Coot,EBIRD
5422,472,G A R Z A,2017,48886.66,1022,2012,4,2,1,Setophaga,coronata,Setophaga coronata,Yellow-rumped Warbler,EBIRD
5423,546,G a r z a,2017,48886.47,1022,2012,4,2,1,Setophaga,coronata,Setophaga coronata,Yellow-rumped Warbler,EBIRD
5424,347,B A S A L T,2004,410.184,3106,2009,11,26,10,Larus,delawarensis,Larus delawarensis,Ring-billed Gull,EBIRD
5425,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,3,10,3,Geococcyx,californianus,Geococcyx californianus,Greater Roadrunner,EBIRD
5426,560,Del Puerto Del Puerto,2020,390647.2556,2048,2018,5,10,4,Callipepla,californica,Callipepla californica,California Quail,EBIRD
5427,347,B A S A L T,2004,410.184,3106,2014,9,8,2,Corvus,corax,Corvus corax,Common Raven,EBIRD
5428,517,S o d a,2016,2000.281,364,2017,4,27,2,Mimus,polyglottos,Mimus polyglottos,Northern Mockingbird,EBIRD
5429,347,B A S A L T,2004,410.184,3106,2011,3,10,1,Stelgidopteryx,serripennis,Stelgidopteryx serripennis,Northern Rough-winged Swallow,EBIRD
5430,347,B A S A L T,2004,410.184,3106,2015,2,12,6,Phalacrocorax,auritus,Phalacrocorax auritus,Double-crested Cormorant,EBIRD
5431,359,A V E N A L,2008,945.3325,1605,2015,4,18,15,Sturnus,vulgaris,Sturnus vulgaris,European Starling,EBIRD
5432,472,G A R Z A,2017,48886.66,1022,2016,10,15,1,Tyto,alba,Tyto alba,Barn Owl,EBIRD
